NUTS level,NUTS code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NUTS3,UKH14,Suffolk,6731,6840,7100,7800,8127,8452,8708,9124,9619,9930,10420,11090,11532,11679,11844,12379,12746,13186,13953,14267,14773,15460
NUTS3,UKH15,Norwich and East Norfolk,3274,3333,3438,3647,3837,3931,4041,4159,4347,4394,4668,4897,5058,5240,5410,5646,5804,5949,6310,6207,6330,6625
NUTS3,UKH16,North and West Norfolk,2172,2238,2316,2479,2631,2716,2798,2882,3041,3091,3293,3483,3650,3800,3929,4103,4200,4320,4505,4553,4660,4861
NUTS3,UKH17,Breckland and South Norfolk,2287,2353,2435,2619,2769,2837,2924,3023,3182,3245,3466,3642,3738,3875,4010,4204,4276,4439,4706,4876,5043,5329
NUTS2,UKH2,Bedfordshire and Hertfordshire,19382,19983,20767,22453,23536,24305,24857,25516,26618,27918,29537,30542,31732,32152,32774,34383,36334,38065,40505,41662,43221,45566
NUTS3,UKH21,Luton,1688,1637,1738,1854,1964,2034,2078,2113,2175,2221,2319,2378,2467,2573,2654,2767,2844,2990,3118,3319,3460,3481
NUTS3,UKH23,Hertfordshire,13350,13963,14368,15642,16520,16931,17329,17772,18519,19530,20788,21468,22336,22436,22821,24005,25479,26759,28501,29137,30234,32063
NUTS3,UKH24,Bedford,1599,1616,1715,1825,1854,1955,1999,2069,2181,2270,2371,2476,2565,2645,2717,2800,2913,3045,3285,3416,3569,3773
NUTS3,UKH25,Central Bedfordshire,2745,2768,2947,3132,3197,3385,3451,3562,3743,3898,4059,4220,4363,4498,4583,4812,5098,5273,5601,5790,5958,6250
NUTS2,UKH3,Essex,18344,18658,19871,20954,21942,22830,23375,24216,25314,26161,27351,28560,29567,29742,30414,31644,32694,33913,36135,37186,38693,40990
NUTS3,UKH31,Southend-on-Sea,1757,1791,1880,1986,2074,2172,2229,2239,2317,2393,2504,2588,2703,2788,2843,2939,3065,3192,3388,3464,3594,3843
NUTS3,UKH32,Thurrock,1372,1417,1471,1521,1600,1717,1798,1860,1937,2017,2129,2230,2313,2370,2413,2502,2582,2737,2884,3018,3137,3274
NUTS3,UKH34,Essex Haven Gateway,4171,4281,4634,4920,5186,5425,5569,5825,6132,6341,6644,6957,7252,7280,7483,7804,8112,8365,8826,9065,9396,9894
NUTS3,UKH35,West Essex,3506,3575,3788,4014,4166,4277,4334,4516,4759,4917,5143,5388,5505,5496,5674,5945,6149,6372,7024,7147,7481,7992
NUTS3,UKH36,Heart of Essex,3830,3842,4082,4302,4487,4633,4731,4897,5095,5261,5478,5706,5889,5895,5983,6213,6408,6712,7106,7371,7706,8190
NUTS3,UKH37,Essex Thames Gateway,3708,3752,4017,4211,4428,4606,4713,4880,5074,5231,5455,5691,5905,5914,6019,6243,6377,6534,6908,7120,7379,7797
NUTS1,UKI,London,92039,95975,103335,112994,118031,121119,126089,133177,142924,151341,164657,172285,174116,178200,180742,194554,207417,219132,236406,242469,246417,261562
NUTS2,UKI3,Inner London - West,19189,20241,22171,25101,26001,26129,26897,28938,32145,35141,39356,42000,42409,41280,40476,43970,48912,52394,56025,56520,57067,61386
NUTS3,UKI31,Camden and City of London,3512,3862,4240,4838,4998,5028,5157,5579,6308,6920,7750,8394,8485,8214,8122,8888,9912,10447,11381,11794,11762,12843
NUTS3,UKI32,Westminster,3813,4044,4496,5118,5353,5435,5623,6087,6808,7452,8273,8847,8980,8789,8741,9588,10671,11460,12674,12906,13190,14004
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,8252,8307,8910,9948,10226,10187,10470,11182,12164,13218,14747,15742,15784,15313,14893,16139,18000,19334,20237,19768,19924,21620
NUTS3,UKI34,Wandsworth,3613,4028,4525,5197,5424,5480,5648,6091,6865,7551,8587,9016,9160,8965,8720,9354,10329,11153,11733,12051,12191,12920
NUTS2,UKI4,Inner London - East,18730,19654,21551,23804,24837,25688,26690,28332,30678,33187,36192,37810,38753,40719,41746,44870,47378,50373,55025,57013,58333,62129
NUTS3,UKI41,Hackney and Newham,2682,2995,3407,3963,4277,4547,4845,5237,5819,6422,7097,7499,7851,8256,8554,9214,9947,10553,11542,12222,12568,13339
NUTS3,UKI42,Tower Hamlets,2419,2502,2722,2983,3124,3247,3375,3567,3835,4119,4477,4691,4859,5104,5227,5601,5959,6345,6934,7367,7559,8244
NUTS3,UKI43,Haringey and Islington,5942,6091,6550,7085,7265,7475,7662,8049,8590,9242,10051,10498,10636,11053,11352,12207,12590,13352,14379,14361,14625,15545
NUTS3,UKI44,Lewisham and Southwark,4810,5067,5566,6131,6395,6566,6832,7277,7902,8538,9263,9606,9810,10419,10566,11338,12018,12829,13874,14314,14732,15548
NUTS3,UKI45,Lambeth,2878,3000,3306,3643,3775,3852,3976,4202,4532,4865,5305,5514,5597,5886,6048,6510,6864,7295,8295,8750,8850,9452
